keywords,keyword_theme,event,speaker(s),other_tags,speaker_occupation,views,comments,popularity_index,video,description,year_published,year_filmed,date_published,#_languages,duration_(min),TED_url,label,id,photo,Cluster,theme_centrality,theme_bridging,x_tsne,y_tsne,x_force_directed,y_force_directed
open-source|culture|disaster relief|architecture|invention|philanthropy|design|activism|collaboration|global issues,"design, art, architecture",TED2006,Cameron Sinclair,,"Co-founder, Architecture for Humanity",1211416,79,0.08,https://embed.ted.com/talks/cameron_sinclair_on_open_source_architecture,"Accepting his 2006 TED Prize, Cameron Sinclair demonstrates how passionate designers and architects can respond to world housing crises. He unveils his TED Prize wish for a network to improve global living standards through collaborative design.",2006,2006,1153786260,27,23.57,https://www.ted.com/talks/cameron_sinclair_on_open_source_architecture,Cameron Sinclair: My wish: A call for open-source architecture,10,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/cameron_sinclair_my_wish_a_call_for_open_source_architecture.png,Cluster_12,-0.6483299644123272,0.05069170842192004,-27.654647827148438,1.474006175994873,0.06103118881583214,0.18214361369609833
storytelling|culture|social change|film|peace|entertainment|art|movies|global issues,"photography, storytelling, film",TED2006,Jehane Noujaim,ted prize,Filmmaker,387877,55,-0.44,https://embed.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film,Jehane Noujaim unveils her 2006 TED Prize wish: to bring the world together for one day a year through the power of film.,2006,2006,1153786260,20,25.63,https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film,Jehane Noujaim: My wish: A global day of film,11,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/jehane_noujaim_my_wish_a_global_day_of_film.png,Cluster_13,1.529737523768199,-0.1010919025307801,-5.603594779968262,20.47842025756836,0.294583261013031,-0.030638374388217926
science|technology|ebola|health|disease|collaboration|global issues,"health, medicine, health care",TED2006,Larry Brilliant,ted prize,"Epidemiologist, philanthropist",693341,71,-0.18,https://embed.ted.com/talks/larry_brilliant_wants_to_stop_pandemics,"Accepting the 2006 TED Prize, Dr. Larry Brilliant talks about how smallpox was eradicated from the planet, and calls for a new global system that can identify and contain pandemics before they spread.",2006,2006,1153786260,24,25.83,https://www.ted.com/talks/larry_brilliant_wants_to_stop_pandemics,Larry Brilliant: My wish: Help me stop pandemics,12,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/larry_brilliant_my_wish_help_me_stop_pandemics.png,Cluster_7,-0.2709293744042341,1.166390083508874,20.06644630432129,-19.124849319458008,-0.19690267741680145,0.17553146183490753
design|technology|interface design|demo,"technology, design, demo",TED2006,Jeff Han,,Human-computer interface designer,4531020,242,0.59,https://embed.ted.com/talks/jeff_han_demos_his_breakthrough_touchscreen,"Jeff Han shows off a cheap, scalable multi-touch and pressure-sensitive computer screen interface that may spell the end of point-and-click.",2006,2006,1154391060,27,8.78,https://www.ted.com/talks/jeff_han_demos_his_breakthrough_touchscreen,Jeff Han: The radical promise of the multi-touch interface,13,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/jeff_han_the_radical_promise_of_the_multi_touch_interface.png,Cluster_5,5.098775168523812,-0.6845088753621081,-20.718639373779297,-6.090310096740723,-0.15510381758213043,-0.07291208207607269
social change|technology|philanthropy|design|children|media|entrepreneur|education|global issues,"business, global issues, technology",TED2006,Nicholas Negroponte,,Tech visionary,358304,99,-0.5,https://embed.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child,"Nicholas Negroponte, founder of the MIT Media Laboratory, describes how the One Laptop Per Child project will build and distribute the ""$100 laptop.""",2006,2006,1154391060,25,17.62,https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child,Nicholas Negroponte: One Laptop per Child,14,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/nicholas_negroponte_one_laptop_per_child.png,Cluster_1,-0.795232389289458,1.042393131103495,2.1820147037506104,-0.5358253121376038,0.061483174562454224,0.11455367505550385
violin|wunderkind|entertainment|youth|design|performance|music,"music, live music, performance",TED2006,Sirena Huang,,Violinist,2702470,325,0.46,https://embed.ted.com/talks/sirena_huang_dazzles_on_violin,"Violinist Sirena Huang gives a technically brilliant and emotionally nuanced performance. In a charming interlude, the 11-year-old praises the timeless design of her instrument.",2006,2006,1154995860,31,24.68,https://www.ted.com/talks/sirena_huang_dazzles_on_violin,Sirena Huang: An 11-year-old's magical violin,15,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/sirena_huang_an_11_year_old_s_magical_violin.png,Cluster_4,0.01282457133452027,-0.69485986581624,-19.278684616088867,32.59908676147461,0.22068877518177032,-0.37122878432273865
wunderkind|entertainment|piano|creativity|performance|music,"music, live music, performance",TED2004,Jennifer Lin,,"Pianist, composer",1628912,305,0.23,https://embed.ted.com/talks/jennifer_lin_improvs_piano_magic,"Pianist and composer Jennifer Lin gives a magical performance, talks about the process of creativity and improvises a moving solo piece based on a random sequence of notes.",2006,2004,1154995860,32,24.08,https://www.ted.com/talks/jennifer_lin_improvs_piano_magic,"Jennifer Lin: Improvising on piano, aged 14",16,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/jennifer_lin_improvising_on_piano_aged_14.png,Cluster_4,0.2759161776751404,-0.69485986581624,-22.64743423461914,33.02216720581055,0.16365006566047668,-0.42941391468048096
engineering|alternative energy|invention|industrial design|design|simplicity|macarthur grant|children|global issues,"business, global issues, technology",TED2006,Amy Smith,macarthur grant,"inventor, engineer",1415724,88,0.14,https://embed.ted.com/talks/amy_smith_shares_simple_lifesaving_design,Fumes from indoor cooking fires kill more than 2 million children a year in the developing world. MIT engineer Amy Smith details an exciting but simple solution: a tool for turning farm waste into clean-burning charcoal.,2006,2006,1155600660,27,15.1,https://www.ted.com/talks/amy_smith_shares_simple_lifesaving_design,Amy Smith: Simple designs to save a life,17,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/amy_smith_simple_designs_to_save_a_life.png,Cluster_1,-1.116247023917817,0.08180819633742009,-15.16148853302002,-5.13046407699585,-0.22384978830814362,0.1791100800037384
biology|invention|science and art|industrial design|design|creativity|nature|product design|dna|philosophy|water,"culture, business, technology",TED2005,Ross Lovegrove,,Industrial designer,1074081,163,-0.15,https://embed.ted.com/talks/ross_lovegrove_shares_organic_designs,"Designer Ross Lovegrove expounds his philosophy of ""fat-free"" design and offers insight into several of his extraordinary products, including the Ty Nant water bottle and the Go chair.",2006,2005,1155600660,22,19.5,https://www.ted.com/talks/ross_lovegrove_shares_organic_designs,"Ross Lovegrove: Organic design, inspired by nature",18,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/ross_lovegrove_organic_design_inspired_by_nature.png,Cluster_3,-0.8084852806071237,-0.4714385772905658,-13.435836791992188,-4.229477405548096,-0.1200350821018219,0.12035686522722244
culture|wikipedia|technology|invention|business|media|open-source|collaboration,"culture, business, technology",TEDGlobal 2005,Jimmy Wales,,Founder of Wikipedia,1106561,84,-0.13,https://embed.ted.com/talks/jimmy_wales_on_the_birth_of_wikipedia,"Jimmy Wales recalls how he assembled ""a ragtag band of volunteers,"" gave them tools for collaborating and created Wikipedia, the self-organizing, self-correcting, never-finished online encyclopedia.",2006,2005,1156119060,32,20.02,https://www.ted.com/talks/jimmy_wales_on_the_birth_of_wikipedia,Jimmy Wales: The birth of Wikipedia,19,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/jimmy_wales_the_birth_of_wikipedia.png,Cluster_3,0.8099532271604383,-0.2260591067250794,8.498732566833496,4.801114559173584,-0.008152436465024948,-0.11367558687925339
culture|library|technology|global issues|business|materials|open-source|collaboration|education,"culture, business, technology",TED2006,Richard Baraniuk,,Education visionary,966439,108,-0.2,https://embed.ted.com/talks/richard_baraniuk_on_open_source_learning,"In 2006, open-learning visionary Richard Baraniuk explains the vision behind Connexions (now called OpenStax), an open-source, online education system. It cuts out the textbook, allowing teachers to share and modify course materials freely, anywhere in the world.",2006,2006,1156119060,27,18.57,https://www.ted.com/talks/richard_baraniuk_on_open_source_learning,Richard Baraniuk: The birth of the open-source learning revolution,20,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/richard_baraniuk_the_birth_of_the_open_source_learning_revolution.png,Cluster_3,-0.3091508980835283,0.9147313305242202,8.887289047241211,4.052432060241699,0.03350367397069931,-0.04681263864040375
culture|web|entertainment|demo|humor|software|performance|dance|community|comedy|collaboration,"comedy, humor, spoken word",TED2004,Ze Frank,,"Humorist, web artist",6141440,185,0.64,https://embed.ted.com/talks/ze_frank_s_nerdcore_comedy,"Performer and web toymaker Ze Frank delivers a hilarious nerdcore standup routine, then tells us what he's seriously passionate about: helping people create and interact using simple, addictive web tools.",2006,2004,1156464660,26,18.93,https://www.ted.com/talks/ze_frank_s_nerdcore_comedy,Ze Frank: Nerdcore comedy,21,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/ze_frank_nerdcore_comedy.png,Cluster_10,0.201650254340545,0.4548900246508483,-11.587209701538086,28.430171966552734,0.2280387431383133,-0.2779747247695923
storytelling|culture|entertainment|design|software|business|communication|community,"culture, business, technology",TED2006,Mena Trott,,"Blogger; cofounder, Six Apart",518624,50,-0.47,https://embed.ted.com/talks/mena_trott_tours_her_blog_world,"The founding mother of the blog revolution, Movable Type's Mena Trott, talks about the early days of blogging, when she realized that giving regular people the power to share our lives online is the key to building a friendlier, more connected world.",2006,2006,1156464660,20,16.77,https://www.ted.com/talks/mena_trott_tours_her_blog_world,Mena Trott: Meet the founder of the blog revolution,22,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/mena_trott_meet_the_founder_of_the_blog_revolution.png,Cluster_3,-0.08610512755894027,0.3043154681580184,5.000934600830078,10.856386184692383,0.12302757799625397,-0.12574516236782074
science|culture|evolution|love|psychology|gender|potential|relationships|cognitive science,"brain, psychology, mind",TED2006,Helen Fisher,,"Anthropologist, expert on love",9260764,556,0.65,https://embed.ted.com/talks/helen_fisher_tells_us_why_we_love_cheat,"Anthropologist Helen Fisher takes on a tricky topic ÛÒ love ÛÒ and explains its evolution, its biochemical foundations and its social importance. She closes with a warning about the potential disaster inherent in antidepressant abuse.",2006,2006,1157501460,33,23.45,https://www.ted.com/talks/helen_fisher_tells_us_why_we_love_cheat,"Helen Fisher: Why we love, why we cheat",23,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/helen_fisher_why_we_love_why_we_cheat.png,Cluster_8,-0.06206965189294468,-0.8057143769473344,10.384499549865723,-15.415639877319336,-0.10519779473543167,-0.23606786131858826
storytelling|culture|violence|theater|entertainment|gender|women|happiness|performance|global issues,"photography, storytelling, film",TED2004,Eve Ensler,,"Playwright, activist",1131864,117,0.06,https://embed.ted.com/talks/eve_ensler_on_happiness_in_body_and_soul,"Eve Ensler, creator of ""The Vagina Monologues,"" shares how a discussion about menopause with her friends led to talking about all sorts of sexual acts onstage, waging a global campaign to end violence toward women and finding her own happiness.",2006,2004,1157501460,23,20.42,https://www.ted.com/talks/eve_ensler_on_happiness_in_body_and_soul,Eve Ensler: Happiness in body and soul,24,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/eve_ensler_happiness_in_body_and_soul.png,Cluster_13,-0.2689108278433558,0.2523680357399631,-4.565030574798584,23.342866897583008,0.3223975598812103,-0.11091671884059906
science|culture|technology|cosmos|physics|universe|environment|climate change|global issues,"business, global issues, technology",TEDGlobal 2005,David Deutsch,,Quantum physicist,1096862,184,0.01,https://embed.ted.com/talks/david_deutsch_on_our_place_in_the_cosmos,"Legendary scientist David Deutsch puts theoretical physics on the back burner to discuss a more urgent matter: the survival of our species. The first step toward solving global warming, he says, is to admit that we have a problem.",2006,2005,1158019860,29,19.0,https://www.ted.com/talks/david_deutsch_on_our_place_in_the_cosmos,David Deutsch: Chemical scum that dream of distant quasars,25,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/david_deutsch_chemical_scum_that_dream_of_distant_quasars.png,Cluster_1,-0.333270370158691,1.092305808081486,-13.619940757751465,-24.265344619750977,-0.1945962756872177,0.15365159511566162
science|evolution|biology|astronomy|psychology|physics|universe|cognitive science|cosmos,"universe, science, astronomy",TEDGlobal 2005,Richard Dawkins,,Evolutionary biologist,2885999,507,0.43,https://embed.ted.com/talks/richard_dawkins_on_our_queer_universe,"Biologist Richard Dawkins makes a case for ""thinking the improbable"" by looking at how the human frame of reference limits our understanding of the universe.",2006,2005,1158019860,36,21.93,https://www.ted.com/talks/richard_dawkins_on_our_queer_universe,Richard Dawkins: Why the universe seems so strange,26,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/richard_dawkins_why_the_universe_seems_so_strange.png,Cluster_14,-0.8770716157504159,0.2561656782469073,-22.680635452270508,-20.639577865600586,-0.43836313486099243,0.012548325583338737
culture|data|economics|cities|race|business|narcotics,"culture, business, technology",TED2004,Steven Levitt,,Economist,2863214,95,0.33,https://embed.ted.com/talks/steven_levitt_analyzes_crack_economics,"""Freakonomics"" author Steven Levitt presents new data on the finances of drug dealing. Contrary to popular myth, he says, being a street-corner crack dealer isn't lucrative: It pays below minimum wage. And your boss can kill you.",2006,2004,1158624660,25,21.25,https://www.ted.com/talks/steven_levitt_analyzes_crack_economics,Steven Levitt: The freakonomics of crack dealing,27,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/steven_levitt_the_freakonomics_of_crack_dealing.png,Cluster_3,-0.4492568716668393,0.5601095379641275,11.973190307617188,6.3527374267578125,0.045729391276836395,-0.09586600959300995
storytelling|culture|economics|marketing|nature|choice|consumerism|happiness|business|media|food,"culture, business, technology",TED2004,Malcolm Gladwell,,Writer,7023562,355,0.66,https://embed.ted.com/talks/malcolm_gladwell_on_spaghetti_sauce,"""Tipping Point"" author Malcolm Gladwell gets inside the food industry's pursuit of the perfect spaghetti sauce -- and makes a larger argument about the nature of choice and happiness.",2006,2004,1158624660,37,17.5,https://www.ted.com/talks/malcolm_gladwell_on_spaghetti_sauce,"Malcolm Gladwell: Choice, happiness and spaghetti sauce",28,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/malcolm_gladwell_choice_happiness_and_spaghetti_sauce.png,Cluster_3,0.1122004754085692,-0.9724177803572491,9.046854972839355,8.465819358825684,0.013273361138999462,-0.29913532733917236
science|culture|evolution|psychology|brain|choice|happiness,"brain, psychology, mind",TED2004,Dan Gilbert,ted brain trust,Psychologist; happiness expert,14689301,970,0.77,https://embed.ted.com/talks/dan_gilbert_asks_why_are_we_happy,"Dan Gilbert, author of ""Stumbling on Happiness,"" challenges the idea that weÛªll be miserable if we donÛªt get what we want. Our ""psychological immune system"" lets us feel truly happy even when things donÛªt go as planned.",2006,2004,1159229460,43,21.27,https://www.ted.com/talks/dan_gilbert_asks_why_are_we_happy,Dan Gilbert: The surprising science of happiness,29,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/dan_gilbert_the_surprising_science_of_happiness.png,Cluster_8,3.22161298702129,-0.6140479949041866,8.256056785583496,-16.020082473754883,-0.08448406308889389,-0.20176191627979279
culture|economics|personal growth|psychology|potential|choice|happiness|business|decision-making,"culture, business, technology",TEDGlobal 2005,Barry Schwartz,,Psychologist,10000702,991,0.75,https://embed.ted.com/talks/barry_schwartz_on_the_paradox_of_choice,"Psychologist Barry Schwartz takes aim at a central tenet of western societies: freedom of choice. In Schwartz's estimation, choice has made us not freer but more paralyzed, not happier but more dissatisfied.",2006,2005,1159229460,45,19.62,https://www.ted.com/talks/barry_schwartz_on_the_paradox_of_choice,Barry Schwartz: The paradox of choice,30,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/barry_schwartz_the_paradox_of_choice.png,Cluster_3,-0.176682438832107,-0.03066145618488972,8.892875671386719,9.874183654785156,-0.03555426746606827,-0.28851160407066345
science|wunderkind|technology|future|health|medicine|disease|cancer,"health, medicine, health care",TED2005,Eva Vertes,,Neuroscience and cancer researcher,1030267,213,0.02,https://embed.ted.com/talks/eva_vertes_looks_to_the_future_of_medicine,Eva Vertes -- only 19 when she gave this talk -- discusses her journey toward studying medicine and her drive to understand the roots of cancer and AlzheimerÛªs.,2006,2005,1159747860,26,18.82,https://www.ted.com/talks/eva_vertes_looks_to_the_future_of_medicine,Eva Vertes: Meet the future of cancer research,31,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/eva_vertes_meet_the_future_of_cancer_research.png,Cluster_7,1.318751630905205,-0.4954828918507099,16.136499404907227,-28.213947296142578,-0.30738672614097595,0.1278601735830307
science|engineering|technology|future|health care|biotech|disease|aging,"health, medicine, health care",TEDGlobal 2005,Aubrey de Grey,,Crusader against aging,3277740,612,0.53,https://embed.ted.com/talks/aubrey_de_grey_says_we_can_avoid_aging,"Cambridge researcher Aubrey de Grey argues that aging is merely a disease -- and a curable one at that. Humans age in seven basic ways, he says, all of which can be averted.",2006,2005,1159747860,29,22.75,https://www.ted.com/talks/aubrey_de_grey_says_we_can_avoid_aging,Aubrey de Grey: A roadmap to end aging,32,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/aubrey_de_grey_a_roadmap_to_end_aging.png,Cluster_7,0.1073577516070804,-0.1044593179559707,15.130858421325684,-29.233301162719727,-0.3340538740158081,0.0864289179444313
culture|alternative energy|microfinance|investment|poverty|invention|technology|transportation|global development|business|communication|telecom|global issues,"business, global issues, technology",TEDGlobal 2005,Iqbal Quadir,,"Founder, GrameenPhone",503517,74,-0.36,https://embed.ted.com/talks/iqbal_quadir_says_mobiles_fight_poverty,"Iqbal Quadir tells how his experiences as a kid in poor Bangladesh, and later as a banker in New York, led him to start a mobile phone operator connecting 80 million rural Bangladeshi -- and to become a champion of bottom-up development.",2006,2005,1160439060,21,15.87,https://www.ted.com/talks/iqbal_quadir_says_mobiles_fight_poverty,Iqbal Quadir: How mobile phones can fight poverty,33,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/iqbal_quadir_how_mobile_phones_can_fight_poverty.png,Cluster_1,0.3708906487237199,-0.6180444094197852,13.824430465698242,0.858430027961731,-0.025413796305656433,-0.02621278539299965
culture|microfinance|investment|poverty|philanthropy|africa|global development|business|entrepreneur,"business, global issues, technology",TEDGlobal 2005,Jacqueline Novogratz,ted brain trust,Investor and advocate for moral leadership,705389,58,-0.21,https://embed.ted.com/talks/jacqueline_novogratz_invests_in_ending_poverty,"Jacqueline Novogratz applauds the world's heightened interest in Africa and poverty, but argues persuasively for a new approach.",2006,2005,1160439060,26,12.88,https://www.ted.com/talks/jacqueline_novogratz_invests_in_ending_poverty,Jacqueline Novogratz: Invest in Africa's own solutions,34,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/jacqueline_novogratz_invest_in_africa_s_own_solutions.png,Cluster_1,0.9349705853588416,-0.9436479043956101,22.6569881439209,-3.359614372253418,-0.004219861701130867,-0.14740270376205444
culture|investment|philanthropy|democracy|business|media|global issues,"business, global issues, technology",TEDGlobal 2005,Sasa Vucinic,,Nonprofit venture capitalist,580891,43,-0.3,https://embed.ted.com/talks/sasa_vucinic_invests_in_free_press,"A free press -- papers, magazines, radio, TV, blogs -- is the backbone of any true democracy (and a vital watchdog on business). Sasa Vucinic, a journalist from Belgrade, talks about his new fund, which supports media by selling ""free press bonds.""",2006,2005,1161130260,21,18.0,https://www.ted.com/talks/sasa_vucinic_invests_in_free_press,Sasa Vucinic: Why we should invest in a free press,35,https://openmappr-images.sfo2.digitaloceanspaces.com/thumbnail/sasa_vucinic_why_we_should_invest_in_a_free_press.png,Cluster_1,0.843628192028701,-0.6592974126411429,16.285011291503906,3.477943181991577,0.06984089314937592,-0.055677011609077454
