From,To,Label,Type,Tags,Description,category,confidence,flat,negative,positive,skip,fromName,toName,Source,Target,votes,fracPos,fracNeg,fracFlat,sign,isPos,isNeg,new_sign
34,16,,,,,all,2.8,1,0,4,0,"their time to appreciate new quality experiences (nature, culture, sports, learnings, personal insights)",the presence and experience of love in their life,34,16,5,0.8,0.0,0.2,positive,1,0,positive
75,51,,,,,all,2.75,0,0,4,0,their ability to set goals and take actions towards those goals,their ability to take a long term perspective during challenging times,75,51,4,1.0,0.0,0.0,positive,1,0,positive
6,68,,,,,all,2.75,0,0,4,0,"the time they spend reading a book, creating art, making music, doing schoolwork, etc.",their ability to manage boredom,6,68,4,1.0,0.0,0.0,positive,1,0,positive
10,38,,,,,all,2.6,1,3,0,1,the time they spend with others online,their ability to control and moderate their time online,10,38,4,0.0,0.75,0.25,negative,0,1,positive
31,47,,,,,all,2.75,1,0,3,0,"the ability of ""the internet"" to remember or keep positive moments of their life forever accessible","their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)",31,47,4,0.75,0.0,0.25,positive,1,0,positive
69,60,,,,,all,2.8,0,0,5,0,"their ability to develop proficiency at a hobby, instrument, game, business or other personal interest",their level of self-esteem,69,60,5,1.0,0.0,0.0,positive,1,0,positive
33,5,,,,,all,2.6666666666666665,0,0,3,0,their ability to engage with systems and institutions designed to support them,"their access to resources of daily life (food, shelter, safe environment, money)",33,5,3,1.0,0.0,0.0,positive,1,0,positive
2,35,,,,,all,2.75,0,0,4,0,their access to mental health resources,their ability to recover from negative or adverse events that happen to them (online or in person),2,35,4,1.0,0.0,0.0,positive,1,0,positive
29,47,,,,,all,2.333333333333333,0,3,0,0,"the frequency of negative feedback to their online activities (e.g., dislikes, thumbs down, negative comments)","their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)",29,47,3,0.0,1.0,0.0,negative,0,1,positive
65,50,,,,,all,2.6,1,0,4,0,their ability to empathize with and understand other perspectives,their ability to evaluate the emotional risk before an action they want to take,65,50,5,0.8,0.0,0.2,positive,1,0,positive
72,19,,,,,all,2.4,1,0,3,1,their ability to relax when they're stressed,the time they spend learning about their heritage and culture,72,19,4,0.75,0.0,0.25,positive,1,0,positive
31,41,,,,,all,2.8,1,0,3,1,"the ability of ""the internet"" to remember or keep positive moments of their life forever accessible",their ability to manage their reputation online (including what others post about them),31,41,4,0.75,0.0,0.25,positive,1,0,positive
15,0,,,,,all,2.4,1,0,4,0,"the time they spend with social groups (religious, volunteer, government, tribe, hobby, etc.)","their access to trusted information about mental, physical and sexual health & development",15,0,5,0.8,0.0,0.2,positive,1,0,positive
58,56,,,,,all,2.75,0,4,0,0,their belief that everyone is better off than they are,their certainty that they matter to themself and to others,58,56,4,0.0,1.0,0.0,negative,0,1,positive
0,40,,,,,all,2.25,0,0,4,0,"their access to trusted information about mental, physical and sexual health & development",their ability to cope with and overcome hardship or challenges in their life,0,40,4,1.0,0.0,0.0,positive,1,0,positive
41,44,,,,,all,2.25,0,0,4,0,their ability to manage their reputation online (including what others post about them),their ability to control or manage personal information they disclose online,41,44,4,1.0,0.0,0.0,positive,1,0,positive
53,75,,,,,all,2.5,0,0,4,0,their ability to recognize mental health challenges they should seek support for,their ability to set goals and take actions towards those goals,53,75,4,1.0,0.0,0.0,positive,1,0,positive
13,49,,,,,all,2.5,1,0,3,0,their awareness of what's happening among their friends,their assurance that they are not not alone and have others to depend on,13,49,4,0.75,0.0,0.25,positive,1,0,positive
25,75,,,,,all,2.25,0,4,0,0,their exposure to hurtful/hateful personal content (like mocking and bullying),their ability to set goals and take actions towards those goals,25,75,4,0.0,1.0,0.0,negative,0,1,positive
52,57,,,,,all,2.333333333333333,0,0,3,0,the amount of external recognition or validation they receive for something good they did,their belief that they are part of a community,52,57,3,1.0,0.0,0.0,positive,1,0,positive
62,8,,,,,all,2.0,0,3,0,0,"their desire for popularity (likes, followers, shares)",their having close friends,62,8,3,0.0,1.0,0.0,negative,0,1,positive
54,62,,,,,all,2.5,0,3,1,0,"their ability to know who their real, trusted friends are","their desire for popularity (likes, followers, shares)",54,62,4,0.25,0.75,0.0,negative,0,1,positive
65,51,,,,,all,2.0,1,0,3,0,their ability to empathize with and understand other perspectives,their ability to take a long term perspective during challenging times,65,51,4,0.75,0.0,0.25,positive,1,0,positive
60,23,,,,,all,2.0,0,0,4,0,their level of self-esteem,"their participation in positive events that are fun, joyous, and exciting",60,23,4,1.0,0.0,0.0,positive,1,0,positive
70,56,,,,,all,2.333333333333333,0,0,3,0,their ability to explore their identity safely,their certainty that they matter to themself and to others,70,56,3,1.0,0.0,0.0,positive,1,0,positive
30,62,,,,,all,2.0,0,0,3,0,their ability to compare their life to other people's lives,"their desire for popularity (likes, followers, shares)",30,62,3,1.0,0.0,0.0,positive,1,0,positive
20,24,,,,,all,2.0,0,0,5,0,the time they spend being a part of their heritage and culture,their awareness of other people's lives and experiences,20,24,5,1.0,0.0,0.0,positive,1,0,positive
13,21,,,,,all,2.333333333333333,0,0,3,0,their awareness of what's happening among their friends,their ability to help others and/or contribute to something bigger than themselves,13,21,3,1.0,0.0,0.0,positive,1,0,positive
66,76,,,,,all,2.5,1,0,3,0,their level of resilience (being flexible and agile in response to events and knowing they can get up if they fall down),their ability to recognize when they're going gown down a trap of negative content or comments,66,76,4,0.75,0.0,0.25,positive,1,0,positive
34,37,,,,,all,2.333333333333333,0,0,3,0,"their time to appreciate new quality experiences (nature, culture, sports, learnings, personal insights)",their ability to cope with anxious feelings,34,37,3,1.0,0.0,0.0,positive,1,0,positive
28,7,,,,,all,2.25,1,3,0,0,"the frequency of positive feedback to their online activities (e.g., likes, applauses, positive comments)","the time they spend doing something physical (working, sports, volunteering, being outdoors, etc)",28,7,4,0.0,0.75,0.25,negative,0,1,positive
17,59,,,,,all,2.4,0,0,5,0,"their having at least one positive adult relationship (with a parent, relative, teacher, coach, etc.)",their level of self confidence,17,59,5,1.0,0.0,0.0,positive,1,0,positive
12,13,,,,,all,2.25,0,0,4,0,the time they spend with friends in person,their awareness of what's happening among their friends,12,13,4,1.0,0.0,0.0,positive,1,0,positive
26,50,,,,,all,2.0,0,0,3,0,"their exposure to positive parenting (consistent, respectful, supportive)",their ability to evaluate the emotional risk before an action they want to take,26,50,3,1.0,0.0,0.0,positive,1,0,positive
43,4,,,,,all,2.0,0,0,3,0,their ability to find others like them,"their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",43,4,3,1.0,0.0,0.0,positive,1,0,positive
29,8,,,,,all,2.0,1,3,0,0,"the frequency of negative feedback to their online activities (e.g., dislikes, thumbs down, negative comments)",their having close friends,29,8,4,0.0,0.75,0.25,negative,0,1,positive
36,58,,,,,all,2.25,1,0,3,0,"the influence of online content and personalities on them and their identity (influencers, celebrities)",their belief that everyone is better off than they are,36,58,4,0.75,0.0,0.25,positive,1,0,positive
31,74,,,,,all,2.5,0,1,3,0,"the ability of ""the internet"" to remember or keep positive moments of their life forever accessible",their ability to consider the purpose and meaning of a good life,31,74,4,0.75,0.25,0.0,positive,1,0,positive
68,48,,,,,all,2.2,1,0,4,0,their ability to manage boredom,"their ability to recognize exploitative relationships (gaslighting, manipulation, controlling)",68,48,5,0.8,0.0,0.2,positive,1,0,positive
76,74,,,,,all,2.75,0,1,3,0,their ability to recognize when they're going gown down a trap of negative content or comments,their ability to consider the purpose and meaning of a good life,76,74,4,0.75,0.25,0.0,positive,1,0,positive
14,40,,,,,all,2.5,0,0,4,0,their ability to tell their friends about their life and experiences,their ability to cope with and overcome hardship or challenges in their life,14,40,4,1.0,0.0,0.0,positive,1,0,positive
57,43,,,,,all,2.25,0,0,3,0,their belief that they are part of a community,their ability to find others like them,57,43,3,1.0,0.0,0.0,positive,1,0,positive
61,42,,,,,all,2.5,0,0,3,1,their belief that they will be found if they get lost,their ability to cope with feelings of being lonely,61,42,3,1.0,0.0,0.0,positive,1,0,positive
72,47,,,,,all,2.0,1,0,3,0,their ability to relax when they're stressed,"their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)",72,47,4,0.75,0.0,0.25,positive,1,0,positive
6,73,,,,,all,2.0,0,3,0,0,"the time they spend reading a book, creating art, making music, doing schoolwork, etc.",their ability to get enough sleep,6,73,3,0.0,1.0,0.0,negative,0,1,positive
35,34,,,,,all,2.25,0,0,4,0,their ability to recover from negative or adverse events that happen to them (online or in person),"their time to appreciate new quality experiences (nature, culture, sports, learnings, personal insights)",35,34,4,1.0,0.0,0.0,positive,1,0,positive
47,3,,,,,all,2.5,1,0,3,0,"their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)",their willingness to use mental health resources,47,3,4,0.75,0.0,0.25,positive,1,0,positive
21,43,,,,,all,2.333333333333333,0,0,3,0,their ability to help others and/or contribute to something bigger than themselves,their ability to find others like them,21,43,3,1.0,0.0,0.0,positive,1,0,positive
6,11,,,,,all,2.6666666666666665,0,3,0,0,"the time they spend reading a book, creating art, making music, doing schoolwork, etc.",the time they spend with friends online,6,11,3,0.0,1.0,0.0,negative,0,1,positive
51,44,,,,,all,2.0,0,0,3,0,their ability to take a long term perspective during challenging times,their ability to control or manage personal information they disclose online,51,44,3,1.0,0.0,0.0,positive,1,0,positive
50,37,,,,,all,2.25,1,0,3,0,their ability to evaluate the emotional risk before an action they want to take,their ability to cope with anxious feelings,50,37,4,0.75,0.0,0.25,positive,1,0,positive
63,13,,,,,all,2.0,0,0,4,0,their ability to trust that adults in their life have their best interests at heart,their awareness of what's happening among their friends,63,13,4,1.0,0.0,0.0,positive,1,0,positive
15,72,,,,,all,2.6666666666666665,0,0,3,0,"the time they spend with social groups (religious, volunteer, government, tribe, hobby, etc.)",their ability to relax when they're stressed,15,72,3,1.0,0.0,0.0,positive,1,0,positive
53,74,,,,,all,2.333333333333333,0,0,3,0,their ability to recognize mental health challenges they should seek support for,their ability to consider the purpose and meaning of a good life,53,74,3,1.0,0.0,0.0,positive,1,0,positive
2,59,,,,,all,2.333333333333333,0,0,3,0,their access to mental health resources,their level of self confidence,2,59,3,1.0,0.0,0.0,positive,1,0,positive
56,47,,,,,all,2.0,0,0,4,0,their certainty that they matter to themself and to others,"their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)",56,47,4,1.0,0.0,0.0,positive,1,0,positive
66,23,,,,,all,2.0,0,0,4,0,their level of resilience (being flexible and agile in response to events and knowing they can get up if they fall down),"their participation in positive events that are fun, joyous, and exciting",66,23,4,1.0,0.0,0.0,positive,1,0,positive
5,67,,,,,all,2.0,0,0,4,0,"their access to resources of daily life (food, shelter, safe environment, money)",their ability to concentrate without interruption,5,67,4,1.0,0.0,0.0,positive,1,0,positive
8,65,,,,,all,2.0,0,0,4,0,their having close friends,their ability to empathize with and understand other perspectives,8,65,4,1.0,0.0,0.0,positive,1,0,positive
40,35,,,,,all,2.6666666666666665,0,0,3,0,their ability to cope with and overcome hardship or challenges in their life,their ability to recover from negative or adverse events that happen to them (online or in person),40,35,3,1.0,0.0,0.0,positive,1,0,positive
57,60,,,,,all,2.2,0,0,4,0,their belief that they are part of a community,their level of self-esteem,57,60,4,1.0,0.0,0.0,positive,1,0,positive
35,51,,,,,all,2.25,0,1,3,0,their ability to recover from negative or adverse events that happen to them (online or in person),their ability to take a long term perspective during challenging times,35,51,4,0.75,0.25,0.0,positive,1,0,positive
60,0,,,,,all,2.0,0,0,3,0,their level of self-esteem,"their access to trusted information about mental, physical and sexual health & development",60,0,3,1.0,0.0,0.0,positive,1,0,positive
34,14,,,,,all,2.2,0,0,5,0,"their time to appreciate new quality experiences (nature, culture, sports, learnings, personal insights)",their ability to tell their friends about their life and experiences,34,14,5,1.0,0.0,0.0,positive,1,0,positive
43,37,,,,,all,2.0,0,0,3,0,their ability to find others like them,their ability to cope with anxious feelings,43,37,3,1.0,0.0,0.0,positive,1,0,positive
37,73,,,,,all,2.0,0,1,3,0,their ability to cope with anxious feelings,their ability to get enough sleep,37,73,4,0.75,0.25,0.0,positive,1,0,positive
73,21,,,,,all,2.4,1,0,4,0,their ability to get enough sleep,their ability to help others and/or contribute to something bigger than themselves,73,21,5,0.8,0.0,0.2,positive,1,0,positive
21,40,,,,,all,2.75,1,0,3,0,their ability to help others and/or contribute to something bigger than themselves,their ability to cope with and overcome hardship or challenges in their life,21,40,4,0.75,0.0,0.25,positive,1,0,positive
68,62,,,,,all,2.0,0,3,0,0,their ability to manage boredom,"their desire for popularity (likes, followers, shares)",68,62,3,0.0,1.0,0.0,negative,0,1,positive
59,24,,,,,all,2.0,1,0,3,0,their level of self confidence,their awareness of other people's lives and experiences,59,24,4,0.75,0.0,0.25,positive,1,0,positive
65,74,,,,,all,2.25,0,0,4,0,their ability to empathize with and understand other perspectives,their ability to consider the purpose and meaning of a good life,65,74,4,1.0,0.0,0.0,positive,1,0,positive
58,71,,,,,all,2.6,0,4,0,0,their belief that everyone is better off than they are,"their ability to pursue personal interests that people around them might not share (an instrument, a hobby)",58,71,4,0.0,1.0,0.0,negative,0,1,positive
26,22,,,,,all,2.5,0,0,4,0,"their exposure to positive parenting (consistent, respectful, supportive)","time they spend connecting with others toward a shared goal, mission, faith, culture, interest",26,22,4,1.0,0.0,0.0,positive,1,0,positive
53,4,,,,,all,2.0,0,0,3,1,their ability to recognize mental health challenges they should seek support for,"their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",53,4,3,1.0,0.0,0.0,positive,1,0,positive
2,56,,,,,all,2.6,0,0,4,1,their access to mental health resources,their certainty that they matter to themself and to others,2,56,4,1.0,0.0,0.0,positive,1,0,positive
70,50,,,,,all,2.25,1,0,3,0,their ability to explore their identity safely,their ability to evaluate the emotional risk before an action they want to take,70,50,4,0.75,0.0,0.25,positive,1,0,positive
26,47,,,,,all,3.0,0,0,3,0,"their exposure to positive parenting (consistent, respectful, supportive)","their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)",26,47,3,1.0,0.0,0.0,positive,1,0,positive
21,13,,,,,all,2.333333333333333,0,0,3,0,their ability to help others and/or contribute to something bigger than themselves,their awareness of what's happening among their friends,21,13,3,1.0,0.0,0.0,positive,1,0,positive
60,69,,,,,all,2.5,0,0,4,0,their level of self-esteem,"their ability to develop proficiency at a hobby, instrument, game, business or other personal interest",60,69,4,1.0,0.0,0.0,positive,1,0,positive
65,16,,,,,all,2.75,0,0,4,0,their ability to empathize with and understand other perspectives,the presence and experience of love in their life,65,16,4,1.0,0.0,0.0,positive,1,0,positive
31,9,,,,,all,2.333333333333333,0,0,3,0,"the ability of ""the internet"" to remember or keep positive moments of their life forever accessible",their ability to stay in touch with people (nearby or far away; friends and intergenerational members of community),31,9,3,1.0,0.0,0.0,positive,1,0,positive
39,2,,,,,all,1.75,1,0,3,0,their ability to control and moderate the content they process online,their access to mental health resources,39,2,4,0.75,0.0,0.25,positive,1,0,positive
40,75,,,,,all,2.25,0,0,4,0,their ability to cope with and overcome hardship or challenges in their life,their ability to set goals and take actions towards those goals,40,75,4,1.0,0.0,0.0,positive,1,0,positive
72,40,,,,,all,2.0,0,0,4,0,their ability to relax when they're stressed,their ability to cope with and overcome hardship or challenges in their life,72,40,4,1.0,0.0,0.0,positive,1,0,positive
11,40,,,,,all,2.6666666666666665,0,0,3,0,the time they spend with friends online,their ability to cope with and overcome hardship or challenges in their life,11,40,3,1.0,0.0,0.0,positive,1,0,positive
62,71,,,,,all,2.25,0,1,3,0,"their desire for popularity (likes, followers, shares)","their ability to pursue personal interests that people around them might not share (an instrument, a hobby)",62,71,4,0.75,0.25,0.0,positive,1,0,positive
16,42,,,,,all,3.0,0,0,4,0,the presence and experience of love in their life,their ability to cope with feelings of being lonely,16,42,4,1.0,0.0,0.0,positive,1,0,positive
19,20,,,,,all,2.333333333333333,0,0,3,0,the time they spend learning about their heritage and culture,the time they spend being a part of their heritage and culture,19,20,3,1.0,0.0,0.0,positive,1,0,positive
4,63,,,,,all,2.333333333333333,0,0,3,0,"their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",their ability to trust that adults in their life have their best interests at heart,4,63,3,1.0,0.0,0.0,positive,1,0,positive
50,38,,,,,all,1.6666666666666667,0,0,3,0,their ability to evaluate the emotional risk before an action they want to take,their ability to control and moderate their time online,50,38,3,1.0,0.0,0.0,positive,1,0,positive
37,17,,,,,all,2.75,1,0,3,0,their ability to cope with anxious feelings,"their having at least one positive adult relationship (with a parent, relative, teacher, coach, etc.)",37,17,4,0.75,0.0,0.25,positive,1,0,positive
11,2,,,,,all,2.25,1,0,3,0,the time they spend with friends online,their access to mental health resources,11,2,4,0.75,0.0,0.25,positive,1,0,positive
23,72,,,,,all,2.25,0,0,4,0,"their participation in positive events that are fun, joyous, and exciting",their ability to relax when they're stressed,23,72,4,1.0,0.0,0.0,positive,1,0,positive
51,67,,,,,all,2.25,0,0,3,1,their ability to take a long term perspective during challenging times,their ability to concentrate without interruption,51,67,3,1.0,0.0,0.0,positive,1,0,positive
34,18,,,,,all,2.75,0,0,4,0,"their time to appreciate new quality experiences (nature, culture, sports, learnings, personal insights)",the number of places and groups of people where they are welcome and appreciated,34,18,4,1.0,0.0,0.0,positive,1,0,positive
7,4,,,,,all,2.25,1,0,3,0,"the time they spend doing something physical (working, sports, volunteering, being outdoors, etc)","their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",7,4,4,0.75,0.0,0.25,positive,1,0,positive
65,64,,,,,all,2.333333333333333,0,0,3,0,their ability to empathize with and understand other perspectives,their ability to recover and learn from their mistakes,65,64,3,1.0,0.0,0.0,positive,1,0,positive
43,48,,,,,all,2.0,1,0,3,0,their ability to find others like them,"their ability to recognize exploitative relationships (gaslighting, manipulation, controlling)",43,48,4,0.75,0.0,0.25,positive,1,0,positive
3,23,,,,,all,2.6,1,0,4,0,their willingness to use mental health resources,"their participation in positive events that are fun, joyous, and exciting",3,23,5,0.8,0.0,0.2,positive,1,0,positive
40,21,,,,,all,2.6666666666666665,0,0,3,0,their ability to cope with and overcome hardship or challenges in their life,their ability to help others and/or contribute to something bigger than themselves,40,21,3,1.0,0.0,0.0,positive,1,0,positive
6,69,,,,,all,2.5,1,0,3,0,"the time they spend reading a book, creating art, making music, doing schoolwork, etc.","their ability to develop proficiency at a hobby, instrument, game, business or other personal interest",6,69,4,0.75,0.0,0.25,positive,1,0,positive
14,43,,,,,all,2.5,0,0,3,1,their ability to tell their friends about their life and experiences,their ability to find others like them,14,43,3,1.0,0.0,0.0,positive,1,0,positive
26,64,,,,,all,3.0,0,0,4,0,"their exposure to positive parenting (consistent, respectful, supportive)",their ability to recover and learn from their mistakes,26,64,4,1.0,0.0,0.0,positive,1,0,positive
58,64,,,,,all,2.0,0,3,1,0,their belief that everyone is better off than they are,their ability to recover and learn from their mistakes,58,64,4,0.25,0.75,0.0,negative,0,1,positive
67,64,,,,,all,2.6666666666666665,0,0,3,0,their ability to concentrate without interruption,their ability to recover and learn from their mistakes,67,64,3,1.0,0.0,0.0,positive,1,0,positive
9,35,,,,,all,2.333333333333333,0,0,3,0,their ability to stay in touch with people (nearby or far away; friends and intergenerational members of community),their ability to recover from negative or adverse events that happen to them (online or in person),9,35,3,1.0,0.0,0.0,positive,1,0,positive
47,59,,,,,all,2.75,0,0,4,0,"their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)",their level of self confidence,47,59,4,1.0,0.0,0.0,positive,1,0,positive
0,51,,,,,all,1.75,0,0,4,0,"their access to trusted information about mental, physical and sexual health & development",their ability to take a long term perspective during challenging times,0,51,4,1.0,0.0,0.0,positive,1,0,positive
52,48,,,,,all,2.0,0,1,3,0,the amount of external recognition or validation they receive for something good they did,"their ability to recognize exploitative relationships (gaslighting, manipulation, controlling)",52,48,4,0.75,0.25,0.0,positive,1,0,positive
56,59,,,,,all,2.6666666666666665,0,0,3,0,their certainty that they matter to themself and to others,their level of self confidence,56,59,3,1.0,0.0,0.0,positive,1,0,positive
69,5,,,,,all,2.5,1,0,3,0,"their ability to develop proficiency at a hobby, instrument, game, business or other personal interest","their access to resources of daily life (food, shelter, safe environment, money)",69,5,4,0.75,0.0,0.25,positive,1,0,positive
55,42,,,,,all,2.6,1,0,3,0,their ability to know the benefit of sharing information online,their ability to cope with feelings of being lonely,55,42,4,0.75,0.0,0.25,positive,1,0,positive
26,35,,,,,all,2.75,0,0,4,0,"their exposure to positive parenting (consistent, respectful, supportive)",their ability to recover from negative or adverse events that happen to them (online or in person),26,35,4,1.0,0.0,0.0,positive,1,0,positive
65,22,,,,,all,2.25,0,1,3,0,their ability to empathize with and understand other perspectives,"time they spend connecting with others toward a shared goal, mission, faith, culture, interest",65,22,4,0.75,0.25,0.0,positive,1,0,positive
39,74,,,,,all,2.25,1,0,3,0,their ability to control and moderate the content they process online,their ability to consider the purpose and meaning of a good life,39,74,4,0.75,0.0,0.25,positive,1,0,positive
54,8,,,,,all,2.75,0,1,3,0,"their ability to know who their real, trusted friends are",their having close friends,54,8,4,0.75,0.25,0.0,positive,1,0,positive
68,27,,,,,all,2.0,1,0,3,0,their ability to manage boredom,their exposure to high quality news and current events,68,27,4,0.75,0.0,0.25,positive,1,0,positive
32,74,,,,,all,2.25,0,0,3,1,"the ability of ""the internet""  to forget or remove negative moments of their life so it's not forever accessible",their ability to consider the purpose and meaning of a good life,32,74,3,1.0,0.0,0.0,positive,1,0,positive
66,56,,,,,all,2.0,0,0,4,0,their level of resilience (being flexible and agile in response to events and knowing they can get up if they fall down),their certainty that they matter to themself and to others,66,56,4,1.0,0.0,0.0,positive,1,0,positive
47,63,,,,,all,2.5,0,0,4,0,"their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)",their ability to trust that adults in their life have their best interests at heart,47,63,4,1.0,0.0,0.0,positive,1,0,positive
70,48,,,,,all,1.75,0,0,4,0,their ability to explore their identity safely,"their ability to recognize exploitative relationships (gaslighting, manipulation, controlling)",70,48,4,1.0,0.0,0.0,positive,1,0,positive
34,51,,,,,all,2.0,1,0,3,1,"their time to appreciate new quality experiences (nature, culture, sports, learnings, personal insights)",their ability to take a long term perspective during challenging times,34,51,4,0.75,0.0,0.25,positive,1,0,positive
22,9,,,,,all,2.0,0,0,4,1,"time they spend connecting with others toward a shared goal, mission, faith, culture, interest",their ability to stay in touch with people (nearby or far away; friends and intergenerational members of community),22,9,4,1.0,0.0,0.0,positive,1,0,positive
1,18,,,,,all,2.2,1,0,4,0,their access to trusted information about mental health,the number of places and groups of people where they are welcome and appreciated,1,18,5,0.8,0.0,0.2,positive,1,0,positive
75,43,,,,,all,2.0,0,1,4,0,their ability to set goals and take actions towards those goals,their ability to find others like them,75,43,5,0.8,0.2,0.0,positive,1,0,positive
2,22,,,,,all,2.25,0,0,3,1,their access to mental health resources,"time they spend connecting with others toward a shared goal, mission, faith, culture, interest",2,22,3,1.0,0.0,0.0,positive,1,0,positive
36,45,,,,,all,2.5,0,3,0,1,"the influence of online content and personalities on them and their identity (influencers, celebrities)",their ability to disconnect from electronic devices,36,45,3,0.0,1.0,0.0,negative,0,1,positive
54,9,,,,,all,2.0,0,0,3,0,"their ability to know who their real, trusted friends are",their ability to stay in touch with people (nearby or far away; friends and intergenerational members of community),54,9,3,1.0,0.0,0.0,positive,1,0,positive
4,74,,,,,all,1.75,0,1,3,0,"their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",their ability to consider the purpose and meaning of a good life,4,74,4,0.75,0.25,0.0,positive,1,0,positive
39,60,,,,,all,2.25,1,0,3,0,their ability to control and moderate the content they process online,their level of self-esteem,39,60,4,0.75,0.0,0.25,positive,1,0,positive
18,53,,,,,all,2.25,0,0,3,1,the number of places and groups of people where they are welcome and appreciated,their ability to recognize mental health challenges they should seek support for,18,53,3,1.0,0.0,0.0,positive,1,0,positive
65,15,,,,,all,1.75,0,1,3,0,their ability to empathize with and understand other perspectives,"the time they spend with social groups (religious, volunteer, government, tribe, hobby, etc.)",65,15,4,0.75,0.25,0.0,positive,1,0,positive
0,53,,,,,all,2.25,0,0,4,0,"their access to trusted information about mental, physical and sexual health & development",their ability to recognize mental health challenges they should seek support for,0,53,4,1.0,0.0,0.0,positive,1,0,positive
11,4,,,,,all,2.5,0,1,3,0,the time they spend with friends online,"their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",11,4,4,0.75,0.25,0.0,positive,1,0,positive
18,14,,,,,all,2.25,0,0,4,0,the number of places and groups of people where they are welcome and appreciated,their ability to tell their friends about their life and experiences,18,14,4,1.0,0.0,0.0,positive,1,0,positive
59,33,,,,,all,2.0,1,0,3,0,their level of self confidence,their ability to engage with systems and institutions designed to support them,59,33,4,0.75,0.0,0.25,positive,1,0,positive
49,24,,,,,all,2.5,1,0,3,0,their assurance that they are not not alone and have others to depend on,their awareness of other people's lives and experiences,49,24,4,0.75,0.0,0.25,positive,1,0,positive
57,5,,,,,all,2.25,0,0,4,0,their belief that they are part of a community,"their access to resources of daily life (food, shelter, safe environment, money)",57,5,4,1.0,0.0,0.0,positive,1,0,positive
18,43,,,,,all,2.25,0,1,3,0,the number of places and groups of people where they are welcome and appreciated,their ability to find others like them,18,43,4,0.75,0.25,0.0,positive,1,0,positive
72,39,,,,,all,2.333333333333333,0,0,3,0,their ability to relax when they're stressed,their ability to control and moderate the content they process online,72,39,3,1.0,0.0,0.0,positive,1,0,positive
9,37,,,,,all,2.0,0,0,3,0,their ability to stay in touch with people (nearby or far away; friends and intergenerational members of community),their ability to cope with anxious feelings,9,37,3,1.0,0.0,0.0,positive,1,0,positive
54,50,,,,,all,2.333333333333333,0,0,3,0,"their ability to know who their real, trusted friends are",their ability to evaluate the emotional risk before an action they want to take,54,50,3,1.0,0.0,0.0,positive,1,0,positive
