Label,Tags,Category,Impact Measure,Opportunity Area,Description,Causal Cluster,Avg Keystone Score,Avg Keystone Score 2in,Upstream <<-->> Downstream,Avg Leverage,Avg 2-Degree Leverage,Avg 2-Degree Reach,Avg Keystone Score (Pctl),Avg Keystone Score 2in (Pctl),Upstream <<-->> Downstream (Pctl),Avg Leverage (Pctl),Avg 2-Degree Leverage (Pctl),Avg 2-Degree Reach (Pctl),Top Keystones (75pctl),Degree,Direct Incoming,Direct Outgoing,Frac Neg Out,Frac Neg In,Causal Cluster ID,ClusterCentrality,ClusterBridging,Name,id,x_tsne,y_tsne,x_spring,y_spring,Clustered_1_X,Clustered_1_Y,category_cluster_X,category_cluster_Y,causal cluster_X,causal cluster_Y,label,OriginalLabel,OriginalX,OriginalY,OriginalSize
"the time they spend with social groups (religious, volunteer, government, tribe, hobby, etc.)",time|relationship|offline,Taking Care of Myself,Reduce Trauma & Effects of Trauma,Positive Relationships,empty,Proficiency,0.497693499,0.242158566,0.83624874,0.699240281,0.019648331,0.942701299,78.37894737,76.2,33.42368421,64.1,71.53421053,82.67368421,Yes,64,25,39,0.076923077,0.04,Cluster_0,-0.252902316,0.811266654,"the time they spend with social groups (religious, volunteer, government, tribe, hobby, etc.)",15,0.630201519,-0.096119739,-0.374747858,-0.154563698,-4044.684004,856.056609,934.0427073,355.0980179,-1613.856966,3853.694621,"the time they spend with social groups (religious, volunteer, government, tribe, hobby, etc.)","the time they spend with social groups (religious, volunteer, government, tribe, hobby, etc.)",0.630201519,-0.096119739,10
"the frequency of positive feedback to their online activities (e.g., likes, applauses, positive comments)",encouragement,Taking Care of Myself,Enhance Development of Protective Factors ,Balanced Content,empty,Foundation,0.510544912,0.231646477,0.720635036,0.827819296,0.073909571,0.848948052,77.18552632,63.45,17.87368421,87.48815789,76.425,33.69210526,Yes,34,12,22,0.181818182,0.083333333,Cluster_2,-1.396508538,-0.923733921,"the frequency of positive feedback to their online activities (e.g., likes, applauses, positive comments)",28,-0.762469828,-0.605967283,0.742610349,0.168576116,-3854.618312,1053.603209,-213.7843808,1475.751625,5701.371795,-1446.983692,"the frequency of positive feedback to their online activities (e.g., likes, applauses, positive comments)","the frequency of positive feedback to their online activities (e.g., likes, applauses, positive comments)",-0.762469828,-0.605967283,10
their ability to know the benefit of sharing information online,understanding|online|discipline,Access to Resources,Encourage Prosocial Relationships,Balanced Content,empty,Foundation,0.49433196,0.22525815,0.729111784,0.767251545,0.041855947,0.878571429,76.27105263,64.06184211,17.47368421,77.89078947,70.84078947,47.02631579,Yes,39,17,22,0.045454545,0.058823529,Cluster_2,-1.192239352,-0.610551274,their ability to know the benefit of sharing information online,55,-0.262387007,0.686097801,0.408391437,-0.379265894,3413.346126,3274.028615,-3638.754479,3245.702832,3340.665237,-757.6697769,their ability to know the benefit of sharing information online,their ability to know the benefit of sharing information online,-0.262387007,0.686097801,10
the amount of external recognition or validation they receive for something good they did,encouragement|online,Personal Skills ,Enhance Development of Protective Factors ,empty,empty,Foundation,0.487647783,0.209497214,0.76757808,0.770882067,0.031440479,0.872883117,75.86842105,59.93157895,22.10789474,78.67763158,68.48026316,42.24078947,Yes,40,17,23,0,0,Cluster_2,-1.144388531,-0.557183841,the amount of external recognition or validation they receive for something good they did,52,0.444284558,0.212728471,-0.054478257,-0.619046455,-1719.997954,3678.941189,212.5488716,-3940.76755,4141.258094,-2087.30911,the amount of external recognition or validation they receive for something good they did,the amount of external recognition or validation they receive for something good they did,0.444284558,0.212728471,10
the time they spend learning about their heritage and culture,time|relationships|identity,Taking Care of Myself,Enhance Development of Protective Factors ,empty,empty,Proficiency,0.482874007,0.185301473,0.77505601,0.790453894,0.013932927,0.857688312,74.53684211,50.88947368,24.31052632,82.11710526,61.85,37.43552632,No,34,15,19,0,0,Cluster_0,-1.566578507,-0.779275592,the time they spend learning about their heritage and culture,19,0.298625588,0.676899195,-0.580875026,-0.610146148,-4556.97837,2057.950517,495.6457458,-787.2332943,2892.351949,4178.68418,the time they spend learning about their heritage and culture,the time they spend learning about their heritage and culture,0.298625588,0.676899195,10
their ability to manage boredom,healing|coping|skill,Access to Resources,Reduce Trauma & Effects of Trauma,empty,empty,Engagement,0.473514725,0.184303979,0.838957501,0.757208825,0.002541661,0.873363636,73.75,50.82631579,35.60263158,76.01315789,57.16710526,43.675,No,43,18,25,0.08,0.055555556,Cluster_1,-0.330208436,-0.962852416,their ability to manage boredom,68,-1.462237477,-1.487557173,0.218903582,-0.636978443,3925.049502,2091.168632,-1575.247507,2882.359988,-3369.440881,-352.0054866,their ability to manage boredom,their ability to manage boredom,-1.462237477,-1.487557173,10
their willingness to use mental health resources,healing|coping|trust|growth,Connected to People,Encourage Prosocial Relationships,empty,empty,Engagement,0.455960837,0.203873469,0.904552438,0.682157878,-0.006807239,0.931025974,72.82105263,63.28552632,54.74736842,60.24473684,58.51973684,75.25921053,No,65,26,39,0.102564103,0.038461538,Cluster_1,0.191657691,1.335842046,their willingness to use mental health resources,3,0.335372448,-0.737244487,0.076103084,0.390739566,905.7615635,-624.5211817,-2825.062933,-1314.653996,-719.0208272,-2771.678112,their willingness to use mental health resources,their willingness to use mental health resources,0.335372448,-0.737244487,10
their ability to disconnect from electronic devices,discipline|offline|online|comfort|healing|time,Personal Skills ,Reduce Trauma & Effects of Trauma,empty,empty,Engagement,0.460937183,0.207030834,0.785171368,0.758335412,0.033682406,0.865935065,72.25263158,59.36973684,24.60526316,76.25657895,70.16447368,39.55657895,No,44,18,26,0.230769231,0.222222222,Cluster_1,-0.182626448,-1.113796428,their ability to disconnect from electronic devices,45,-0.850606859,-0.601780295,0.496311852,0.042630295,-871.5932316,4288.250065,-464.3095066,-4259.183989,-889.0325889,-2548.76158,their ability to disconnect from electronic devices,their ability to disconnect from electronic devices,-0.850606859,-0.601780295,10
"their having at least one positive adult relationship (with a parent, relative, teacher, coach, etc.)",relationship|encouragement|trust|coping,Connected to People,Encourage Prosocial Relationships,empty,empty,Proficiency,0.439813519,0.223302732,0.900973698,0.657980705,0.001836839,0.947285714,70.25394737,71.96447368,52.89078947,54.58026316,65.06578947,85.225,No,70,29,41,0,0,Cluster_0,0.243169745,0.526251336,"their having at least one positive adult relationship (with a parent, relative, teacher, coach, etc.)",17,0.683680952,-0.16060169,-0.405981794,0.121143847,1874.250716,-586.3918637,-3795.897117,1149.608126,945.5584315,2593.576299,"their having at least one positive adult relationship (with a parent, relative, teacher, coach, etc.)","their having at least one positive adult relationship (with a parent, relative, teacher, coach, etc.)",0.683680952,-0.16060169,10
"their desire for popularity (likes, followers, shares)",identity|discipline|online|coping|growth,Exposure to the World,Reduce Trauma & Effects of Trauma,empty,empty,Engagement,0.442507898,0.195661985,0.828657049,0.705004778,0.001744907,0.89738961,70.05921053,56.03026316,31.54605263,65.29078947,58.17105263,54.49473684,No,54,23,31,0.774193548,0.652173913,Cluster_1,-0.088658076,0.123792376,"their desire for popularity (likes, followers, shares)",62,-0.36979109,-0.216705084,0.435863019,-0.102915904,-1348.881001,-3411.341793,447.0478098,3210.740898,-2083.492916,-1692.007146,"their desire for popularity (likes, followers, shares)","their desire for popularity (likes, followers, shares)",-0.36979109,-0.216705084,10
their having close friends,relationship|comfort|identity,Access to Resources,Encourage Prosocial Relationships,empty,"""close friends"" means people you trust, can rely on, do a variety of things with, and know their character",Foundation,0.42445541,0.203808016,0.933403667,0.655157863,-0.010447305,0.938350649,67.75394737,64.30131579,68.40263158,53.82105263,57.31578947,80.10921053,No,65,29,36,0.055555556,0.103448276,Cluster_2,0.014528585,0.438971615,their having close friends,8,0.051043682,-0.070987441,0.208829681,-0.311223702,3918.610253,1364.439097,-1757.120842,4535.263832,3557.900918,64.42409575,their having close friends,their having close friends,0.051043682,-0.070987441,10
their ability to trust that adults in their life have their best interests at heart,trust|understanding|growth|healing,Exposure to the World,Reduce Trauma & Effects of Trauma,empty,empty,Proficiency,0.420953256,0.192900054,0.869923308,0.677994555,-0.0051218,0.909168831,67.22894737,57.27105263,42.175,59.20394737,57.21710526,61.03684211,No,58,26,32,0,0.038461538,Cluster_0,-0.127197862,-0.443311138,their ability to trust that adults in their life have their best interests at heart,63,0.855275631,-0.125688449,-0.575829381,0.231027087,-1186.165603,-3627.287984,2059.624547,2486.693771,-1986.452037,2251.542015,their ability to trust that adults in their life have their best interests at heart,their ability to trust that adults in their life have their best interests at heart,0.855275631,-0.125688449,10
"the time they spend reading a book, creating art, making music, doing schoolwork, etc.",offline|skill|growth,Personal Skills ,Encourage Prosocial Relationships,empty,empty,Engagement,0.424703301,0.168404285,0.832640446,0.71797956,-0.013736654,0.872792208,66.96578947,45.375,33.01052632,68.10526316,49.78421053,43.16447368,No,46,21,25,0.32,0.095238095,Cluster_1,-0.025256951,-1.121659371,"the time they spend reading a book, creating art, making music, doing schoolwork, etc.",6,-1.638790607,-0.798592806,0.704732697,-0.315660909,-1538.962759,4032.090644,-1255.538216,-4779.541682,-318.7074194,248.0370853,"the time they spend reading a book, creating art, making music, doing schoolwork, etc.","the time they spend reading a book, creating art, making music, doing schoolwork, etc.",-1.638790607,-0.798592806,10
their ability to get enough sleep,discipline|healing|comfort|harm|offline,Connected to People,Encourage Prosocial Relationships,empty,empty,Engagement,0.416135919,0.17966842,0.789341595,0.75004875,0.019474074,0.843935065,65.39210526,48.99078947,25.42631579,74.61710526,62.88157895,30.03552632,No,41,18,23,0.043478261,0.444444444,Cluster_1,-0.873606687,-0.180352892,their ability to get enough sleep,73,-0.177377954,-1.146626711,0.571511717,0.579592197,-96.90622368,838.7070771,-3360.585509,-1241.305542,-1363.400529,-1584.663205,their ability to get enough sleep,their ability to get enough sleep,-0.177377954,-1.146626711,10
their ability to recognize mental health challenges they should seek support for,understanding|skill|coping,Exposure to the World,Encourage Prosocial Relationships,empty,empty,Proficiency,0.399994462,0.167731459,0.910297682,0.667345423,-0.027919207,0.904753247,63.70394737,46.20657895,57.23026316,56.79078947,42.36184211,58.96710526,No,56,27,29,0,0.037037037,Cluster_0,-0.367098668,-0.205166758,their ability to recognize mental health challenges they should seek support for,53,1.333078265,-1.312581301,-0.508157129,0.396810438,-3636.787436,-1821.332261,307.5933261,2873.401278,2824.843463,1795.840209,their ability to recognize mental health challenges they should seek support for,their ability to recognize mental health challenges they should seek support for,1.333078265,-1.312581301,10
their belief that everyone is better off than they are,misperception,Access to Resources,Reduce Trauma & Effects of Trauma,empty,empty,Engagement,0.395378346,0.172903688,0.855890629,0.674849025,-0.016071616,0.893480519,63.03947368,47.91315789,38.00394737,58.36710526,49.52368421,51.18289474,No,58,26,32,0.9375,0.846153846,Cluster_1,-0.284910098,1.342809615,their belief that everyone is better off than they are,58,0.366854906,-0.579972386,-0.231053118,0.367628712,3325.68956,1925.071955,-2422.300723,3039.947062,-1006.790116,-2290.890846,their belief that everyone is better off than they are,their belief that everyone is better off than they are,0.366854906,-0.579972386,10
the number of places and groups of people where they are welcome and appreciated,comfort|relationship|growth,Taking Care of Myself,Reduce Trauma & Effects of Trauma,empty,empty,Foundation,0.396394657,0.22283672,0.927959208,0.623538237,-0.003150834,0.956857143,62.97894737,72.61710526,65.07894737,45.95526316,63.33815789,90.45789474,No,79,33,46,0.065217391,0.060606061,Cluster_2,0.286722178,1.597267184,the number of places and groups of people where they are welcome and appreciated,18,-0.787274718,1.187399626,0.08051713,0.025384164,-1927.078911,424.1997773,1428.316525,156.0763628,2718.491634,-370.9041313,the number of places and groups of people where they are welcome and appreciated,the number of places and groups of people where they are welcome and appreciated,-0.787274718,1.187399626,10
"their ability to know who their real, trusted friends are",relationship|identity|comfort|trust,Access to Resources,Reduce Trauma & Effects of Trauma,empty,empty,Proficiency,0.382192362,0.204409636,0.918546335,0.626084043,-0.010355949,0.939935065,60.89473684,64.50394737,60.50789474,46.60789474,57.77763158,80.74342105,No,68,32,36,0.083333333,0.125,Cluster_0,0.130447458,0.493008119,"their ability to know who their real, trusted friends are",54,0.110497929,0.061273936,-0.07147606,-0.348987378,4272.546442,2393.358444,-1883.878927,3037.960112,440.7007393,1821.005631,"their ability to know who their real, trusted friends are","their ability to know who their real, trusted friends are",0.110497929,0.061273936,10
their ability to manage their reputation online (including what others post about them),discipline|comfort|identity,Access to Resources,Enhance Development of Protective Factors ,empty,"""reputation"" means what others can see about you if they go looking, like college admissions officers or potential employers.",Foundation,0.379082925,0.156329302,0.772035803,0.722824648,-0.009479641,0.83812987,59.27236842,40.32894737,22.54605263,69.08421053,50.50921053,29.82631579,No,38,20,18,0.055555556,0.1,Cluster_2,-0.750922413,-1.344677189,their ability to manage their reputation online (including what others post about them),41,-0.374956787,0.326000184,0.854746048,-0.145419066,3946.390993,2281.277611,-2124.73041,4309.278419,3631.451535,-1635.339992,their ability to manage their reputation online (including what others post about them),their ability to manage their reputation online (including what others post about them),-0.374956787,0.326000184,10
their ability to stay in touch with people (nearby or far away; friends and intergenerational members of community),relationship|discipline|skill|growth,Seeing Things Clearly ,Enhance Development of Protective Factors ,empty,empty,Proficiency,0.359580198,0.164285762,0.89900903,0.643096187,-0.02848078,0.897545455,56.63026316,44.53421053,52.06578947,50.84605263,42.48289474,55.01710526,No,57,29,28,0,0.103448276,Cluster_0,-0.207407304,-0.419213295,their ability to stay in touch with people (nearby or far away; friends and intergenerational members of community),9,0.63341254,1.154468536,0.062768963,-0.422940747,-297.2187793,-4556.077182,3835.364455,-2390.91748,1632.509837,4190.973011,their ability to stay in touch with people (nearby or far away; friends and intergenerational members of community),their ability to stay in touch with people (nearby or far away; friends and intergenerational members of community),0.63341254,1.154468536,10
the presence and experience of love in their life,relationship|trust|comfort|encouragement,Taking Care of Myself,Enhance Development of Protective Factors ,empty,"""presence of love"" refers to that feeling of knowing there are people who love you unconditionally",Proficiency,0.35587417,0.175593625,0.947059401,0.627509678,-0.024627972,0.913987013,56.19605263,49.70131579,75.84078947,47.03815789,45.24210526,64.21447368,No,64,31,33,0.03030303,0.064516129,Cluster_0,0.131145843,-0.118500735,the presence and experience of love in their life,16,1.435537457,-0.076789245,-0.397418291,-0.246542023,-3483.095884,1036.456415,1446.194748,-495.1603031,2088.84202,2103.854811,the presence and experience of love in their life,the presence and experience of love in their life,1.435537457,-0.076789245,10
the time they spend with friends in person,relationship|offline|comfort|identity,Exposure to the World,Enhance Development of Protective Factors ,empty,"""in person* means physically together, interacting together *present"" means being with them, not distracted by other things",Engagement,0.354510395,0.178198233,0.917750054,0.621531502,-0.024713251,0.92,55.88421053,51.37763158,60.175,45.56052632,45.38684211,68.41052632,No,63,32,31,0.096774194,0.15625,Cluster_1,0.117710488,1.187227925,the time they spend with friends in person,12,-1.36649096,0.800280929,0.047135167,-0.268979923,-2888.83929,-3589.717964,2818.834854,2068.208863,-3060.25402,589.2014305,the time they spend with friends in person,the time they spend with friends in person,-1.36649096,0.800280929,10
their ability to take a long term perspective during challenging times,understanding|skill|growth,How I View Myself,Reduce Trauma & Effects of Trauma,empty,"""long term perspective"" means knowing that what feels bad now is only temporary and will get better in the future",Proficiency,0.355271628,0.165012143,0.92780379,0.635024348,-0.030212763,0.903662338,55.75,44.03157895,65.95921053,48.73552632,40.33947368,57.64868421,No,62,30,32,0.03125,0.033333333,Cluster_0,-0.319390357,0.653319783,their ability to take a long term perspective during challenging times,51,0.260748684,-1.731280208,-0.123300362,0.336966785,4050.65916,-1761.942142,4827.069662,-670.41653,-2753.994915,4220.29378,their ability to take a long term perspective during challenging times,their ability to take a long term perspective during challenging times,0.260748684,-1.731280208,10
"the time they spend doing something physical (working, sports, volunteering, being outdoors, etc)",offline|exposure,Personal Skills ,Enhance Development of Protective Factors ,empty,"""physical"" means moving your body, getting your heartrate up a bit, perhaps breaking a sweat",Engagement,0.355002986,0.157868827,0.892657703,0.647963356,-0.030256264,0.88725974,55.41578947,41.62105263,49.71710526,51.89605263,40.80394737,49.68421053,No,51,28,23,0.086956522,0.142857143,Cluster_1,-0.328238581,0.224991878,"the time they spend doing something physical (working, sports, volunteering, being outdoors, etc)",7,-0.657430232,-2.036341667,-0.747965097,0.027917651,943.3096312,3884.702913,-1368.991636,-1762.555285,-1052.160983,-1944.164721,"the time they spend doing something physical (working, sports, volunteering, being outdoors, etc)","the time they spend doing something physical (working, sports, volunteering, being outdoors, etc)",-0.657430232,-2.036341667,10
the time they spend with others online,relationship|online|discipline|skill,Personal Skills ,Enhance Development of Protective Factors ,empty,"""others"" are people such as acquaintences or just random people",Engagement,0.34726687,0.155339332,0.782143085,0.746846187,0.015291144,0.801545455,53.38421053,39.83026316,24.17368421,73.91973684,59.67105263,19.57368421,No,36,17,19,0.473684211,0.588235294,Cluster_1,-0.690073291,-1.275938766,the time they spend with others online,10,-1.53744185,-0.397378713,0.671165343,-0.462467375,1231.034415,3823.564147,175.1685321,-4715.103055,-3038.91753,-1678.207431,the time they spend with others online,the time they spend with others online,-1.53744185,-0.397378713,10
their exposure to high quality news and current events,exposure|skill|discipline,Taking Care of Myself,Enhance Development of Protective Factors ,empty,"""high quality"" means reporters you judge to the best of your ability to be folloiwing the rules of jounralism and not sensationalism.",Proficiency,0.352946591,0.281788868,0.255354358,0.928643046,0.392849689,0.735077922,53.06578947,65.30657895,2.259210526,97.74473684,95.97236842,9.385526316,No,18,4,14,0.071428571,0,Cluster_0,-2.074110861,-2.065826556,their exposure to high quality news and current events,27,0.709242821,1.178922653,-0.534130178,-0.903169542,-3635.741604,-361.4208051,585.7513629,-1315.145821,-571.0251497,4289.436435,their exposure to high quality news and current events,their exposure to high quality news and current events,0.709242821,1.178922653,10
"time they spend connecting with others toward a shared goal, mission, faith, culture, interest",exposure|relationship|skill|growth|encouragement,Connected to People,Encourage Prosocial Relationships,empty,empty,Proficiency,0.335734178,0.214810055,0.94019277,0.586200192,-0.008569853,0.95587013,52.26973684,70.25789474,71.79210526,36.55921053,60.47894737,90.16578947,No,81,37,44,0.022727273,0,Cluster_0,0.541356376,1.584935176,"time they spend connecting with others toward a shared goal, mission, faith, culture, interest",22,1.629242659,0.414359272,-0.212052497,-0.234004231,519.6361806,-844.4710966,-1620.082512,-826.1751167,-1297.167451,3899.515398,"time they spend connecting with others toward a shared goal, mission, faith, culture, interest","time they spend connecting with others toward a shared goal, mission, faith, culture, interest",1.629242659,0.414359272,10
"their ability to develop proficiency at a hobby, instrument, game, business or other personal interest",skill|growth|discipline|exposure,Seeing Things Clearly ,Reduce Trauma & Effects of Trauma,empty,empty,Engagement,0.334464601,0.155410657,0.924707981,0.630028769,-0.033672563,0.89038961,51.925,40.01842105,64.12105263,47.52763158,38.12631579,50.82631579,No,57,30,27,0.074074074,0.066666667,Cluster_1,0.090622813,0.228484447,"their ability to develop proficiency at a hobby, instrument, game, business or other personal interest",69,-0.660072505,-1.286479473,0.504618237,-0.272660381,1263.769782,-3985.870461,2389.366345,-4040.148936,-1452.875671,-2882.156627,"their ability to develop proficiency at a hobby, instrument, game, business or other personal interest","their ability to develop proficiency at a hobby, instrument, game, business or other personal interest",-0.660072505,-1.286479473,10
the time they spend being a part of their heritage and culture,relationship|identity|comfort|trust,Taking Care of Myself,Reduce Trauma & Effects of Trauma,empty,empty,Proficiency,0.329333073,0.113372514,0.769541243,0.737757469,-0.037064182,0.796168831,50.92105263,24.96578947,22.65394737,72.00526316,37.44605263,17.01315789,No,35,18,17,0.058823529,0,Cluster_0,-1.036116145,-1.786646229,the time they spend being a part of their heritage and culture,20,0.206637651,1.358918786,-0.840700063,-0.551014795,-4492.568197,-265.3196638,553.1249709,759.1751632,-399.2239816,2784.767787,the time they spend being a part of their heritage and culture,the time they spend being a part of their heritage and culture,0.206637651,1.358918786,10
their ability to engage with systems and institutions designed to support them,skill|growth|understanding,Taking Care of Myself,Reduce Trauma & Effects of Trauma,empty,"""systems and institutions"" means things like teachers, administrators, admissions offices, government agencies like for driver's license, healthcare providers, etc.",Foundation,0.329169233,0.196507167,0.928289444,0.590146991,-0.017620816,0.941038961,50.90789474,60.91973684,65.08026316,37.51447368,52.41842105,81.50263158,No,76,36,40,0,0.027777778,Cluster_2,0.504562575,0.880078815,their ability to engage with systems and institutions designed to support them,33,0.693514347,-0.746594191,-0.055613653,0.470866795,-2786.323233,-178.9532638,-211.2340019,-679.6075029,2454.282999,-3405.138304,their ability to engage with systems and institutions designed to support them,their ability to engage with systems and institutions designed to support them,0.693514347,-0.746594191,10
